title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
Tactile Object Pose Estimation from the First Touch with Geometric Contact Rendering,Maria Bauza Villalonga; Alberto Rodriguez; Bryan Lim; Eric Valls; Theo Sechopoulos,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/villalonga21a/villalonga21a.pdf,,Открыто
ROLL: Visual Self-Supervised Reinforcement Learning with Object Reasoning,Yufei Wang; Narasimhan Gautham; Xingyu Lin; Brian Okorn; David Held,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/wang21e/wang21e.pdf,,Открыто
Sample-efficient Cross-Entropy Method for Real-time Planning,Cristina Pinneri; Shambhuraj Sawant; Sebastian Blaes; Jan Achterhold; Joerg Stueckler; Michal Rolinek; Georg Martius,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/pinneri21a/pinneri21a.pdf,,Открыто
Sim2Real Transfer for Deep Reinforcement Learning with Stochastic State Transition Delays,Sandeep Singh Sandha; Luis Garcia; Bharathan Balaji; Fatima Anwar; Mani Srivastava,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/sandha21a/sandha21a.pdf,,Открыто
Towards General and Autonomous Learning of Core Skills: A Case Study in Locomotion,Roland Hafner; Tim Hertweck; Philipp Kloeppner; Michael Bloesch; Michael Neunert; Markus Wulfmeier; Saran Tunyasuvunakool; Nicolas Heess; Martin Riedmiller,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/hafner21a/hafner21a.pdf,,Открыто
IV-SLAM: Introspective Vision for Simultaneous Localization and Mapping,Sadegh Rabiee; Joydeep Biswas,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/rabiee21a/rabiee21a.pdf,,Открыто
Learning to Walk in the Real World with Minimal Human Effort,Sehoon Ha; Peng Xu; Zhenyu Tan; Sergey Levine; Jie Tan,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ha21c/ha21c.pdf,,Открыто
Generation of Realistic Images for Learning in Simulation using FeatureGAN,Nicolas Cruz; Javier Ruiz-del-Solar,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/cruz21a/cruz21a.pdf,,Открыто
Incremental learning of EMG-based control commands using Gaussian Processes,Felix Schiel; Annette Hagengruber; Jörn Vogel; Rudolph Triebel,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/schiel21a/schiel21a.pdf,,Открыто
Flightmare: A Flexible Quadrotor Simulator,Yunlong Song; Selim Naji; Elia Kaufmann; Antonio Loquercio; Davide Scaramuzza,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/song21a/song21a.pdf,,Открыто
Hardware as Policy: Mechanical and Computational Co-Optimization using Deep Reinforcement Learning,Tianjian Chen; Zhanpeng He; Matei Ciocarlie,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/chen21a/chen21a.pdf,,Открыто
StrObe: Streaming Object Detection from LiDAR Packets,Davi Frossard; Shun Da Suo; Sergio Casas; James Tu; Raquel Urtasun,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/frossard21a/frossard21a.pdf,,Открыто
Towards Robotic Assembly by Predicting Robust; Precise and Task-oriented Grasps,Jialiang Zhao; Daniel Troniak; Oliver Kroemer,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zhao21c/zhao21c.pdf,,Открыто
Learning to Communicate and Correct Pose Errors,Nicholas Vadivelu; Mengye Ren; James Tu; Jingkang Wang; Raquel Urtasun,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/vadivelu21a/vadivelu21a.pdf,,Открыто
Visual Localization and Mapping with Hybrid SFA,Muhammad Haris; Mathias Franzius; Ute Bauer-Wersing; Sai Krishna Kaushik Karanam,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/haris21a/haris21a.pdf,,Открыто
