title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
NaVid: Video-based VLM Plans the Next Step for Vision-and-Language Navigation,Jiazhao Zhang; Kunyu Wang; Rongtao Xu; Gengze Zhou; Yicong Hong; Xiaomeng Fang; Qi Wu; Zhizheng Zhang; He Wang,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p079.pdf,,Открыто
RACER: Epistemic Risk-Sensitive RL Enables Fast Driving with Fewer Crashes,Kyle Stachowicz; Sergey Levine,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p080.pdf,,Открыто
Khronos: A Unified Approach for Spatio-Temporal Metric-Semantic SLAM in Dynamic Environments,Lukas Schmid; Marcus Abate; Yun Chang; Luca Carlone,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p081.pdf,,Открыто
Demonstrating Agile Flight from Pixels without State Estimation,Ismail Geles; Leonard Bauersfeld; Angel Romero; Jiaxu Xing; Davide Scaramuzza,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p082.pdf,,Открыто
Youâve Got to Feel It To Believe It: Multi-Modal Bayesian Inference for Semantic and Property Prediction,Parker Ewen; Hao Chen; Yuzhen Chen; Anran Li; Anup Bagali; Gitesh Gunjal; Ram Vasudevan,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p083.pdf,,Открыто
AnyFeature-VSLAM: Automating the Usage of Any Feature into Visual SLAM,Alejandro Fontan; Javier Civera; Michael Milford,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p084.pdf,,Открыто
iMESA: Incremental Distributed Optimization for Collaborative Simultaneous Localization and Mapping,Daniel McGann; Michael Kaess,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p085.pdf,,Открыто
Scalable Distance-based Multi-Agent Relative State Estimation via Block Multiconvex Optimization,Tianyue Wu; Fei Gao,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p086.pdf,,Открыто
Experience-based multi-agent path finding with narrow corridors,Rachel A Moan; Courtney McBeth; Marco Morales; Nancy Amato; Kris Hauser,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p087.pdf,,Открыто
Event-based Visual Inertial Velometer,Xiuyuan LU; Yi Zhou; Junkai Niu; Sheng Zhong; Shaojie Shen,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p088.pdf,,Открыто
Explore until Confident: Efficient Exploration for Embodied Question Answering,Allen Z. Ren; Jaden Clark; Anushri Dixit; Masha Itkina; Anirudha Majumdar; Dorsa Sadigh,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p089.pdf,,Открыто
Octo: An Open-Source Generalist Robot Policy,Dibya Ghosh; Homer Rich Walke; Karl Pertsch; Kevin Black; Oier Mees; Sudeep Dasari; Joey Hejna; Tobias Kreiman; Charles Xu; Jianlan Luo; You Liang Tan; Lawrence Yunliang Chen; Quan Vuong; Ted Xiao; Pannag R Sanketi; Dorsa Sadigh; Chelsea Finn; Sergey Levine,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p090.pdf,,Открыто
Demonstrating OK-Robot: What Really Matters in Integrating Open-Knowledge Models for Robotics,Peiqi Liu; Yaswanth Orru; Jay Vakil; Chris Paxton; Nur Muhammad Mahi Shafiullah; Lerrel Pinto,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p091.pdf,,Открыто
Any-point Trajectory Modeling for Policy Learning,Chuan Wen; Xingyu Lin; John Ian Reyes So; Kai Chen; Qi Dou; Yang Gao; Pieter Abbeel,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p092.pdf,,Открыто
Pushing the Limits of Cross-Embodiment Learning for Manipulation and Navigation,Jonathan Heewon Yang; Catherine Glossop; Arjun Bhorkar; Dhruv Shah; Quan Vuong; Chelsea Finn; Dorsa Sadigh; Sergey Levine,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p093.pdf,,Открыто
DrEureka: Language Model Guided Sim-To-Real Transfer,Yecheng Jason Ma; William Liang; Hung-Ju Wang; Yuke Zhu; Linxi Fan; Osbert Bastani; Dinesh Jayaraman,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p094.pdf,,Открыто
Set It Up!: Functional Object Arrangement with Compositional Generative Models,Yiqing Xu; Jiayuan Mao; Yilun Du; TomÃ¡s Lozano-PÃ©rez; Leslie Pack Kaelbling; David Hsu,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p095.pdf,,Открыто
Keypoint Action Tokens Enable In-Context Imitation Learning in Robotics,Norman Di Palo; Edward Johns,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p096.pdf,,Открыто
ConTac: Continuum-Emulated Soft Skinned Arm with Vision-based Shape Sensing and Contact-aware Manipulation,Tuan Tai Nguyen; Quan Khanh Luu; Dinh Quang Nguyen; Van Ho,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p097.pdf,,Открыто
Function Based Sim-to-Real Learning for Shape Control of Deformable Free-form Surfaces,Yingjun Tian; Guoxin Fang; Renbo Su; Weiming Wang; Simeon Gill; Andrew Weightman; Charlie C. L. Wang,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p098.pdf,,Открыто
